	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P01.bc88	31228	P1	bc88	1	11	H	H11	R107	Root	Spirodela_Intermedia_7820	2	SI7820	7	3.6	107
P02.bc54	4120	P2	bc54	2	7	F	F7	R108	Root	Spirodela_Intermedia_7820	3	SI7820	7	2	108
P04.bc12	36967	P4	bc12	4	2	D	D2	R109	Root	Spirodela_Intermedia_7820	4	SI7820	7	3	109
P02.bc6	2848	P2	bc6	2	1	F	F1	R110	Root	Spirodela_Intermedia_7820	5	SI7820	7	2	110
P02.bc76	2205	P2	bc76	2	10	D	D10	R111	Root	Spirodela_Intermedia_9227	1	SI9227	7	2.75	111
P02.bc39	2314	P2	bc39	2	5	G	G5	R112	Root	Spirodela_Intermedia_9227	2	SI9227	8	3	112
P03.bc39	33855	P2	bc39	3	5	G	G5	R113	Root	Spirodela_Intermedia_9227	3	SI9227	8	1.866666667	113
P02.bc19	4447	P2	bc19	2	3	C	C3	R114	Root	Spirodela_Intermedia_9227	4	SI9227	7	2.25	114
P01.bc53	46918	P1	bc53	1	7	E	E7	R115	Root	Spirodela_Intermedia_9227	5	SI9227	8	4.6	115
P01.bc55	49228	P1	bc55	1	7	G	G7	R116	Root	Spirodela_polyrhiza_9509	1	SP9509	7	2.666666667	116
P04.bc23	36909	P4	bc23	4	3	G	G3	R117_(2)	Root	Spirodela_polyrhiza_9509	2	SP9509	7	4.75	117
P02.bc89	5280	P2	bc89	2	12	A	A12	R118	Root	Spirodela_polyrhiza_9509	3	SP9509	7	4.2	118
P03.bc76	29904	P2	bc76	3	10	D	D10	R119	Root	Spirodela_polyrhiza_9509	4	SP9509	7	2.5	119
P01.bc4	38311	P1	bc4	1	1	D	D1	R120	Root	Spirodela_polyrhiza_9509	5	SP9509	7	3.25	120
P02.bc38	5400	P2	bc38	2	5	F	F5	R121	Root	Spirodela_polyrhiza_5543	1	SP5543	7	4	121
P01.bc27	29912	P1	bc27	1	4	C	C4	R122	Root	Spirodela_polyrhiza_5543	2	SP5543	6	3	122
P01.bc25	27638	P1	bc25	1	4	A	A4	R123	Root	Spirodela_polyrhiza_5543	3	SP5543	7	2.2	123
P03.bc50	17318	P2	bc50	3	7	B	B7	R124	Root	Spirodela_polyrhiza_5543	4	SP5543	6	3.4	124
P03.bc26	31404	P2	bc26	3	4	B	B4	R125	Root	Spirodela_polyrhiza_5543	5	SP5543	7	3	125
P01.bc16	32291	P1	bc16	1	2	H	H2	R126	Root	Spirodela_polyrhiza_7498	1	SP7498	7	4.333333333	126
P01.bc85	24249	P1	bc85	1	11	E	E11	R127	Root	Spirodela_polyrhiza_7498	2	SP7498	7	2.2	127
P03.bc25	33751	P2	bc25	3	4	A	A4	R128	Root	Spirodela_polyrhiza_7498	3	SP7498	7	2	128
P03.bc16	25841	P2	bc16	3	2	H	H2	R129	Root	Spirodela_polyrhiza_7498	4	SP7498	8	2.5	129
P03.bc77	27849	P2	bc77	3	10	E	E10	R130	Root	Spirodela_polyrhiza_7498	5	SP7498	7	1	130
P01.bc71	3035	P1	bc71	1	9	G	G9	R131	Root	Spirodela_polyrhiza_9192	1	SP9192	7	2.666666667	131
P03.bc43	39679	P2	bc43	3	6	C	C6	R132	Root	Spirodela_polyrhiza_9192	2	SP9192	6	2.5	134
