"ID" "Species" "Root" "Compartment" "Sample" "Complexity" "Shannon" "Observed" "Simpson" "Chao1" "Specie"
"P03.bc44" "LA7339_High_SR" "LA7339" "High" "SR" 4 5 1.08418585723392 4 0.651158488681055 4 "LA7339"
"P03.bc45" "LA7339_High_SR" "LA7339" "High" "SR" 5 5 0.833317298311847 3 0.537578608765034 3 "LA7339"
"P03.bc49" "SP9509_High_SR" "SP9509" "High" "SR" 1 7 0.669327963292645 2 0.476370510396975 2 "SP9509"
"P03.bc50" "SP9509_High_SR" "SP9509" "High" "SR" 2 7 0.905183353609975 6 0.508470406645438 6 "SP9509"
"P03.bc51" "SP9509_High_SR" "SP9509" "High" "SR" 3 7 1.08989096144189 3 0.660885173407849 3 "SP9509"
"P03.bc52" "SP9509_High_SR" "SP9509" "High" "SR" 4 7 0.939788988873849 3 0.580305752471384 3 "SP9509"
"P03.bc53" "SP9509_High_SR" "SP9509" "High" "SR" 5 7 0.745128417227188 3 0.441133771055496 3 "SP9509"
"P03.bc57" "LP0049_High_SR" "LP0049" "High" "SR" 1 5.2 0.930674337093425 15 0.431303508929989 15 "LP0049"
"P03.bc58" "LP0049_High_SR" "LP0049" "High" "SR" 2 5.2 1.07076409573046 6 0.613234310670276 6 "LP0049"
"P03.bc61" "LP0049_High_SR" "LP0049" "High" "SR" 5 5.2 0.64414737087094 3 0.408580817161634 3 "LP0049"
"P03.bc65" "SI7820_High_SR" "SI7820" "High" "SR" 1 6.8 0.96657042927415 17 0.460490076653979 17 "SI7820"
"P03.bc67" "SI7820_High_SR" "SI7820" "High" "SR" 3 6.8 1.10031784173822 4 0.658883908137837 4 "SI7820"
"P03.bc68" "SI7820_High_SR" "SI7820" "High" "SR" 4 6.8 1.09789729100198 3 0.666192795409907 3 "SI7820"
"P03.bc69" "SI7820_High_SR" "SI7820" "High" "SR" 5 6.8 0.821292981686883 3 0.532373438527285 3 "SI7820"
"P03.bc73" "LT9243_High_SR" "LT9243" "High" "SR" 1 6.2 1.19389942313708 23 0.555066080778595 23 "LT9243"
"P03.bc74" "LT9243_High_SR" "LT9243" "High" "SR" 2 6.2 1.06047656758691 8 0.586731400752962 8 "LT9243"
"P03.bc75" "LT9243_High_SR" "LT9243" "High" "SR" 3 6.2 1.19362079713376 13 0.668192895942248 13 "LT9243"
"P03.bc76" "LT9243_High_SR" "LT9243" "High" "SR" 4 6.2 1.06876073436223 5 0.631532304726298 5 "LT9243"
"P03.bc82" "Control_High_SR" "Control" "High" "SR" 2 NA 1.03613432871869 4 0.622778651567579 4 "Control"
"P03.bc83" "Control_High_SR" "Control" "High" "SR" 3 NA 0.810380053744139 3 0.460495012345679 3 "Control"
