"Species" "Metabolite" "log2foldchange" "p.value" "SignPval" "p.ajust" "SignPajus"
"11158" "LY9208" "X1666" -0.0738879599831375 0.0126500602247094 "q < 0.05" 0.470573454842811 "NoSignificant"
"13531" "SI7820" "X1666" -0.089293508966874 0.267924308550384 "NoSignificant" 0.524733760807676 "NoSignificant"
"15904" "SI9227" "X1666" -0.028067283558793 0.465560980195999 "NoSignificant" 0.655161302512107 "NoSignificant"
"18277" "SP7498" "X1666" -0.0894348874118029 0.127855280739986 "NoSignificant" 0.470573454842811 "NoSignificant"
"20650" "SP9509" "X1666" -0.0313592752173713 0.438048555535099 "NoSignificant" 0.635372950183446 "NoSignificant"
"1617" "LA7339" "X1617" -0.00612951701226327 0.892465898329689 "NoSignificant" 0.939567450449676 "NoSignificant"
"3990" "LJ9250" "X1617" -0.0499995248909766 0.106988786867168 "NoSignificant" 0.470573454842811 "NoSignificant"
"6363" "LP0049" "X1617" -0.01946638287298 0.661874475543311 "NoSignificant" 0.793513706869793 "NoSignificant"
"8736" "LT9243" "X1617" -0.0315891284913734 0.430909112808368 "NoSignificant" 0.630768685342075 "NoSignificant"
"11109" "LY9208" "X1617" -0.0959255469042071 0.105256812576637 "NoSignificant" 0.470573454842811 "NoSignificant"
"13482" "SI7820" "X1617" -0.0918464402844976 0.209079674264403 "NoSignificant" 0.495580862364332 "NoSignificant"
"15855" "SI9227" "X1617" 0.0124149534638871 0.477556399579054 "NoSignificant" 0.664479246699593 "NoSignificant"
"18228" "SP7498" "X1617" -0.0861961589703988 0.15020279839252 "NoSignificant" 0.471742421336254 "NoSignificant"
"20601" "SP9509" "X1617" -0.0128584841334152 0.800659798240063 "NoSignificant" 0.885260473753004 "NoSignificant"
"822" "LA7339" "X822" -0.0104809665811696 0.843305874803369 "NoSignificant" 0.910907410734202 "NoSignificant"
"3195" "LJ9250" "X822" -0.0141453589342895 0.485732920378134 "NoSignificant" 0.670618526117772 "NoSignificant"
"5568" "LP0049" "X822" -0.00921884595226485 0.764778840156384 "NoSignificant" 0.861796807172333 "NoSignificant"
"7941" "LT9243" "X822" -0.0112720701839817 0.555969917279644 "NoSignificant" 0.719670860254644 "NoSignificant"
"10314" "LY9208" "X822" -0.0370725881061964 0.136756395383414 "NoSignificant" 0.470573454842811 "NoSignificant"
"12687" "SI7820" "X822" -0.0461126897915105 0.351674373920051 "NoSignificant" 0.577391574708682 "NoSignificant"
"15060" "SI9227" "X822" -0.0450245331606411 0.0543426911270163 "NoSignificant" 0.470573454842811 "NoSignificant"
"17433" "SP7498" "X822" -0.0837143689240403 0.162480358006171 "NoSignificant" 0.473538892731686 "NoSignificant"
"19806" "SP9509" "X822" -0.0206360796388627 0.310606238947773 "NoSignificant" 0.552170678709332 "NoSignificant"
