	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
30686	2	T3	3	P14	62	X62	P91A	Control	Control	0.415	0.668276973	-58.9556962
32414	2	T4	4	P14	62	X62	P91A	Control	Control	0.401	0.645732689	-71.01121076
34142	2	T5	5	P14	62	X62	P91A	Control	Control	0.395	0.636070853	-14.82427398
35870	2	T6	6	P14	62	X62	P91A	Control	Control	0.384	0.618357488	-16.15378543
25599	2	T0	0	P15	63	X63	P91A	C5	Compound	0.486	1	4.172216441
27327	2	T1	1	P15	63	X63	P91A	C5	Compound	0.438	0.901234568	8.054163298
29055	2	T2	2	P15	63	X63	P91A	C5	Compound	0.508	1.04526749	-25.10701107
30783	2	T3	3	P15	63	X63	P91A	C5	Compound	0.479	0.985596708	22.07123776
32511	2	T4	4	P15	63	X63	P91A	C5	Compound	0.48	0.987654321	-4.300686731
34239	2	T5	5	P15	63	X63	P91A	C5	Compound	0.513	1.055555556	-9.043178048
35967	2	T6	6	P15	63	X63	P91A	C5	Compound	0.352	0.724279835	-22.53562022
25597	2	T0	0	P15	61	X61	P91A	C6	Compound	0.383	1	-14.38451712
27325	2	T1	1	P15	61	X61	P91A	C6	Compound	0.346	0.903394256	-13.14134657
29053	2	T2	2	P15	61	X61	P91A	C6	Compound	0.334	0.872062663	-12.99015317
30781	2	T3	3	P15	61	X61	P91A	C6	Compound	0.293	0.765013055	-14.73076923
32509	2	T4	4	P15	61	X61	P91A	C6	Compound	0.303	0.791122715	4.745754933
34237	2	T5	5	P15	61	X61	P91A	C6	Compound	0.268	0.699738903	-17.22517356
35965	2	T6	6	P15	61	X61	P91A	C6	Compound	0.321	0.838120104	-38.36732913
25598	2	T0	0	P15	62	X62	P91A	Control	Control	0.48	1	-15.43568465
27326	2	T1	1	P15	62	X62	P91A	Control	Control	0.452	0.941666667	-10.20332717
29054	2	T2	2	P15	62	X62	P91A	Control	Control	0.418	0.870833333	-12.41003931
30782	2	T3	3	P15	62	X62	P91A	Control	Control	0.36	0.75	-240
32510	2	T4	4	P15	62	X62	P91A	Control	Control	0.361	0.752083333	28.60103627
34238	2	T5	5	P15	62	X62	P91A	Control	Control	0.359	0.747916667	-22.66481497
35966	2	T6	6	P15	62	X62	P91A	Control	Control	0.384	0.8	-23.10871947
25418	2	T0	0	P13	74	X74	P91B	C5	Compound	0.719	1	-9.635397412
27146	2	T1	1	P13	74	X74	P91B	C5	Compound	0.753	1.0472879	-11.67620415
28874	2	T2	2	P13	74	X74	P91B	C5	Compound	0.661	0.919332406	-141.9078947
30602	2	T3	3	P13	74	X74	P91B	C5	Compound	0.655	0.910987483	-77.36075949
32330	2	T4	4	P13	74	X74	P91B	C5	Compound	0.651	0.9054242	-77.36075949
34058	2	T5	5	P13	74	X74	P91B	C5	Compound	0.638	0.887343533	-47.87429358
35786	2	T6	6	P13	74	X74	P91B	C5	Compound	0.634	0.88178025	-31.85840471
25419	2	T0	0	P13	75	X75	P91B	C6	Compound	0.7	1	-8.215547703
27147	2	T1	1	P13	75	X75	P91B	C6	Compound	0.74	1.057142857	-10.18717266
28875	2	T2	2	P13	75	X75	P91B	C6	Compound	0.638	0.911428571	-76.51821862
30603	2	T3	3	P13	75	X75	P91B	C6	Compound	0.627	0.895714286	-67.96116505
32331	2	T4	4	P13	75	X75	P91B	C6	Compound	0.62	0.885714286	-72.97297297
34059	2	T5	5	P13	75	X75	P91B	C6	Compound	0.607	0.867142857	-40.51865631
35787	2	T6	6	P13	75	X75	P91B	C6	Compound	0.602	0.86	-15.11770951
25417	2	T0	0	P13	73	X73	P91B	Control	Control	0.612	1	1.929382093
27145	2	T1	1	P13	73	X73	P91B	Control	Control	0.718	1.173202614	-9.149501661
28873	2	T2	2	P13	73	X73	P91B	Control	Control	0.632	1.032679739	-21.0933461
30601	2	T3	3	P13	73	X73	P91B	Control	Control	0.589	0.962418301	-177.6774194
32329	2	T4	4	P13	73	X73	P91B	Control	Control	0.584	0.954248366	-82.82706767
34057	2	T5	5	P13	73	X73	P91B	Control	Control	0.583	0.952614379	-94.59484778
35785	2	T6	6	P13	73	X73	P91B	Control	Control	0.572	0.934640523	-10.29266961
25514	2	T0	0	P14	74	X74	P91B	C5	Compound	0.819	1	-9.978734675
27242	2	T1	1	P14	74	X74	P91B	C5	Compound	0.719	0.877899878	-19.68483412
28970	2	T2	2	P14	74	X74	P91B	C5	Compound	0.658	0.803418803	-121.7432432
30698	2	T3	3	P14	74	X74	P91B	C5	Compound	0.648	0.791208791	-199.9883721
32426	2	T4	4	P14	74	X74	P91B	C5	Compound	0.647	0.78998779	-125.7519685
34154	2	T5	5	P14	74	X74	P91B	C5	Compound	0.641	0.782661783	-24.92090421
35882	2	T6	6	P14	74	X74	P91B	C5	Compound	0.634	0.774114774	-25.3165598
25515	2	T0	0	P14	75	X75	P91B	C6	Compound	0.745	1	-13.90886461
27243	2	T1	1	P14	75	X75	P91B	C6	Compound	0.734	0.985234899	-14.07013776
28971	2	T2	2	P14	75	X75	P91B	C6	Compound	0.655	0.879194631	-91.2244898
30699	2	T3	3	P14	75	X75	P91B	C6	Compound	0.649	0.87114094	-104.5143885
32427	2	T4	4	P14	75	X75	P91B	C6	Compound	0.639	0.857718121	-159.6428571
34155	2	T5	5	P14	75	X75	P91B	C6	Compound	0.636	0.853691275	-36.77292976
35883	2	T6	6	P14	75	X75	P91B	C6	Compound	0.63	0.845637584	-40.11465333
25513	2	T0	0	P14	73	X73	P91B	Control	Control	0.662	1	-15.37041037
27241	2	T1	1	P14	73	X73	P91B	Control	Control	0.622	0.939577039	-16.60957019
28969	2	T2	2	P14	73	X73	P91B	Control	Control	0.576	0.870090634	-29.29820864
30697	2	T3	3	P14	73	X73	P91B	Control	Control	0.543	0.820241692	-61.58139535
32425	2	T4	4	P14	73	X73	P91B	Control	Control	0.548	0.827794562	-75.96721311
34153	2	T5	5	P14	73	X73	P91B	Control	Control	0.535	0.8081571	-28.58608599
35881	2	T6	6	P14	73	X73	P91B	Control	Control	0.534	0.806646526	-28.03424167
25610	2	T0	0	P15	74	X74	P91B	C5	Compound	1.203	1	-11.22831028
27338	2	T1	1	P15	74	X74	P91B	C5	Compound	1.051	0.87364921	-37.50553134
29066	2	T2	2	P15	74	X74	P91B	C5	Compound	1.01	0.839567747	-77.75705795
30794	2	T3	3	P15	74	X74	P91B	C5	Compound	0.989	0.822111388	-96.66964286
32522	2	T4	4	P15	74	X74	P91B	C5	Compound	0.981	0.815461347	-5.439537672
34250	2	T5	5	P15	74	X74	P91B	C5	Compound	0.965	0.802161264	-12.11676933
35978	2	T6	6	P15	74	X74	P91B	C5	Compound	0.634	0.527015794	-12.01558286
25611	2	T0	0	P15	75	X75	P91B	C6	Compound	0.779	1	-19.98137737
27339	2	T1	1	P15	75	X75	P91B	C6	Compound	0.759	0.974326059	-20.89391513
29067	2	T2	2	P15	75	X75	P91B	C6	Compound	0.706	0.906290116	-82
30795	2	T3	3	P15	75	X75	P91B	C6	Compound	0.692	0.888318357	-124.7912621
32523	2	T4	4	P15	75	X75	P91B	C6	Compound	0.69	0.885750963	-22.32091691
34251	2	T5	5	P15	75	X75	P91B	C6	Compound	0.681	0.874197689	-32.49040865
35979	2	T6	6	P15	75	X75	P91B	C6	Compound	0.63	0.80872914	-32.29056998
25609	2	T0	0	P15	73	X73	P91B	Control	Control	0.911	1	-16.99171035
27337	2	T1	1	P15	73	X73	P91B	Control	Control	0.84	0.922063666	-27.57230205
29065	2	T2	2	P15	73	X73	P91B	Control	Control	0.809	0.888035126	-37.18367347
30793	2	T3	3	P15	73	X73	P91B	Control	Control	0.774	0.849615807	0
32521	2	T4	4	P15	73	X73	P91B	Control	Control	0.781	0.857299671	-5.689047515
34249	2	T5	5	P15	73	X73	P91B	Control	Control	0.774	0.849615807	-13.28779668
35977	2	T6	6	P15	73	X73	P91B	Control	Control	0.534	0.586169045	-14.49867374
25429	2	T0	0	P13	85	X85	P91C	C5	Compound	0.375	1	11.02941176
25431	2	T0	0	P13	87	X87	P91C	C5	Compound	0.335	1	3.985344439
27157	2	T1	1	P13	85	X85	P91C	C5	Compound	0.409	1.090666667	-3.482389124
27159	2	T1	1	P13	87	X87	P91C	C5	Compound	0.412	1.229850746	-3.569119535
28885	2	T2	2	P13	85	X85	P91C	C5	Compound	0.352	0.938666667	-8.096472878
28887	2	T2	2	P13	87	X87	P91C	C5	Compound	0.323	0.964179104	-6.173691109
30613	2	T3	3	P13	85	X85	P91C	C5	Compound	0.312	0.832	5.91722854
30615	2	T3	3	P13	87	X87	P91C	C5	Compound	0.31	0.925373134	78.58069577
32341	2	T4	4	P13	85	X85	P91C	C5	Compound	0.352	0.938666667	-16.48006859
32343	2	T4	4	P13	87	X87	P91C	C5	Compound	0.314	0.937313433	0.617517156
34069	2	T5	5	P13	85	X85	P91C	C5	Compound	0.329	0.877333333	-4.060894301
34071	2	T5	5	P13	87	X87	P91C	C5	Compound	0.34	1.014925373	-2.489223294
35797	2	T6	6	P13	85	X85	P91C	C5	Compound	0.297	0.792	-14.01210853
35799	2	T6	6	P13	87	X87	P91C	C5	Compound	0.336	1.002985075	33.33087387
25430	2	T0	0	P13	86	X86	P91C	C6	Compound	0.496	1	-10.08417749
27158	2	T1	1	P13	86	X86	P91C	C6	Compound	0.464	0.935483871	-11.03817623
28886	2	T2	2	P13	86	X86	P91C	C6	Compound	0.401	0.808467742	-19.46624804
30614	2	T3	3	P13	86	X86	P91C	C6	Compound	0.382	0.77016129	6.759539673
32342	2	T4	4	P13	86	X86	P91C	C6	Compound	0.351	0.70766129	15.85524729
34070	2	T5	5	P13	86	X86	P91C	C6	Compound	0.397	0.800403226	-28.16643005
35798	2	T6	6	P13	86	X86	P91C	C6	Compound	0.404	0.814516129	-31.32926164
25525	2	T0	0	P14	85	X85	P91C	C5	Compound	0.395	1	-16.38248848
27253	2	T1	1	P14	85	X85	P91C	C5	Compound	0.388	0.982278481	-8.966341973
28981	2	T2	2	P14	85	X85	P91C	C5	Compound	0.353	0.893670886	0
30709	2	T3	3	P14	85	X85	P91C	C5	Compound	0.301	0.762025316	-3.199935191
32437	2	T4	4	P14	85	X85	P91C	C5	Compound	0.353	0.893670886	-7.672964343
34165	2	T5	5	P14	85	X85	P91C	C5	Compound	0.276	0.698734177	-18.46562295
35893	2	T6	6	P14	85	X85	P91C	C5	Compound	0.28	0.708860759	-20.96319166
25526	2	T0	0	P14	86	X86	P91C	C6	Compound	0.522	1	-15.1209068
27254	2	T1	1	P14	86	X86	P91C	C6	Compound	0.489	0.936781609	-18.39598462
28982	2	T2	2	P14	86	X86	P91C	C6	Compound	0.453	0.867816092	-32.24710425
30710	2	T3	3	P14	86	X86	P91C	C6	Compound	0.434	0.831417625	-52.56890459
32438	2	T4	4	P14	86	X86	P91C	C6	Compound	0.421	0.80651341	-80.1496063
34166	2	T5	5	P14	86	X86	P91C	C6	Compound	0.415	0.795019157	-26.12770474
35894	2	T6	6	P14	86	X86	P91C	C6	Compound	0.408	0.781609195	-28.15377759
25527	2	T0	0	P14	87	X87	P91C	Control	Control	0.428	1	-15.4259502
27255	2	T1	1	P14	87	X87	P91C	Control	Control	0.405	0.946261682	-16.42849975
28983	2	T2	2	P14	87	X87	P91C	Control	Control	0.373	0.871495327	-32.03326403
30711	2	T3	3	P14	87	X87	P91C	Control	Control	0.354	0.827102804	33.6419214
32439	2	T4	4	P14	87	X87	P91C	Control	Control	0.349	0.815420561	36.14477212
34167	2	T5	5	P14	87	X87	P91C	Control	Control	0.366	0.855140187	-38.74750831
35895	2	T6	6	P14	87	X87	P91C	Control	Control	0.37	0.864485981	-37.95629033
25621	2	T0	0	P15	85	X85	P91C	C5	Compound	0.453	1	-16.94897959
27349	2	T1	1	P15	85	X85	P91C	C5	Compound	0.459	1.013245033	-15.91405214
29077	2	T2	2	P15	85	X85	P91C	C5	Compound	0.42	0.927152318	-36.06687898
30805	2	T3	3	P15	85	X85	P91C	C5	Compound	0.406	0.896247241	-15.34448232
32533	2	T4	4	P15	85	X85	P91C	C5	Compound	0.395	0.87196468	-7.691948026
34261	2	T5	5	P15	85	X85	P91C	C5	Compound	0.353	0.779249448	-16.12495029
35989	2	T6	6	P15	85	X85	P91C	C5	Compound	0.28	0.618101545	-13.74512269
25622	2	T0	0	P15	86	X86	P91C	C6	Compound	0.566	1	-18.55737705
27350	2	T1	1	P15	86	X86	P91C	C6	Compound	0.581	1.026501767	-15.89462423
29078	2	T2	2	P15	86	X86	P91C	C6	Compound	0.554	0.978798587	-19.3042292
30806	2	T3	3	P15	86	X86	P91C	C6	Compound	0.511	0.902826855	32.57553957
32534	2	T4	4	P15	86	X86	P91C	C6	Compound	0.504	0.890459364	-6.818706601
34262	2	T5	5	P15	86	X86	P91C	C6	Compound	0.527	0.931095406	-17.57348817
35990	2	T6	6	P15	86	X86	P91C	C6	Compound	0.408	0.720848057	-21.26804445
25623	2	T0	0	P15	87	X87	P91C	Control	Control	0.432	1	-14.6736757
27351	2	T1	1	P15	87	X87	P91C	Control	Control	0.415	0.960648148	-16.50955414
29079	2	T2	2	P15	87	X87	P91C	Control	Control	0.376	0.87037037	-18.36669619
30807	2	T3	3	P15	87	X87	P91C	Control	Control	0.379	0.877314815	-3.699333968
32535	2	T4	4	P15	87	X87	P91C	Control	Control	0.344	0.796296296	22.08125819
34263	2	T5	5	P15	87	X87	P91C	Control	Control	0.373	0.863425926	-39.46550314
35991	2	T6	6	P15	87	X87	P91C	Control	Control	0.37	0.856481481	-34.64961893
25349	2	T0	0	P13	5	X5	P92	C5	Compound	0.487	1	-18.73076923
27077	2	T1	1	P13	5	X5	P92	C5	Compound	0.497	1.020533881	-17.03790087
28805	2	T2	2	P13	5	X5	P92	C5	Compound	0.462	0.948665298	-14.38427749
30533	2	T3	3	P13	5	X5	P92	C5	Compound	0.441	0.905544148	-3.049194991
32261	2	T4	4	P13	5	X5	P92	C5	Compound	0.397	0.815195072	0
33989	2	T5	5	P13	5	X5	P92	C5	Compound	0.434	0.891170431	-33.39745887
35717	2	T6	6	P13	5	X5	P92	C5	Compound	0.397	0.815195072	-21.9219166
25350	2	T0	0	P13	6	X6	P92	C6	Compound	0.478	1	-3.65583174
27078	2	T1	1	P13	6	X6	P92	C6	Compound	0.513	1.073221757	-15.97351828
28806	2	T2	2	P13	6	X6	P92	C6	Compound	0.47	0.983263598	-17.88773389
30534	2	T3	3	P13	6	X6	P92	C6	Compound	0.46	0.962343096	-8.329758713
32262	2	T4	4	P13	6	X6	P92	C6	Compound	0.422	0.882845188	-3.033850494
33990	2	T5	5	P13	6	X6	P92	C6	Compound	0.447	0.935146444	-49.11710677
35718	2	T6	6	P13	6	X6	P92	C6	Compound	0.419	0.876569038	-39.99999937
25348	2	T0	0	P13	4	X4	P92	Control	Control	0.425	1	-12.14554719
27076	2	T1	1	P13	4	X4	P92	Control	Control	0.433	1.018823529	-11.06192061
28804	2	T2	2	P13	4	X4	P92	Control	Control	0.382	0.898823529	-12.41883117
30532	2	T3	3	P13	4	X4	P92	Control	Control	0.36	0.847058824	-13.1443299
32260	2	T4	4	P13	4	X4	P92	Control	Control	0.316	0.743529412	-11.28075097
33988	2	T5	5	P13	4	X4	P92	Control	Control	0.328	0.771764706	-17.60326056
35716	2	T6	6	P13	4	X4	P92	Control	Control	0.275	0.647058824	-16.03834029
25445	2	T0	0	P14	5	X5	P92	C5	Compound	0.419	1	-20.70082342
27173	2	T1	1	P14	5	X5	P92	C5	Compound	0.412	0.983293556	-12.43268379
28901	2	T2	2	P14	5	X5	P92	C5	Compound	0.383	0.914081146	-8.315047441
30629	2	T3	3	P14	5	X5	P92	C5	Compound	0.345	0.823389021	-6.980831243
32357	2	T4	4	P14	5	X5	P92	C5	Compound	0.284	0.677804296	-6.96223565
34085	2	T5	5	P14	5	X5	P92	C5	Compound	0.314	0.749403341	-15.47327502
35813	2	T6	6	P14	5	X5	P92	C5	Compound	0.251	0.599045346	-5.078915261
25446	2	T0	0	P14	6	X6	P92	C6	Compound	1.113	1	-2.806152664
27174	2	T1	1	P14	6	X6	P92	C6	Compound	0.527	0.473495058	-20.93346366
28902	2	T2	2	P14	6	X6	P92	C6	Compound	0.45	0.404312668	-84.12209302
30630	2	T3	3	P14	6	X6	P92	C6	Compound	0.434	0.389937107	-18.34615385
32358	2	T4	4	P14	6	X6	P92	C6	Compound	0.424	0.380952381	-48.13761468
34086	2	T5	5	P14	6	X6	P92	C6	Compound	0.433	0.389038634	-8.841903348
35814	2	T6	6	P14	6	X6	P92	C6	Compound	0.402	0.361185984	-9.672143839
25444	2	T0	0	P14	4	X4	P92	Control	Control	0.514	1	-7.365720756
27172	2	T1	1	P14	4	X4	P92	Control	Control	0.425	0.826848249	-12.47474349
28900	2	T2	2	P14	4	X4	P92	Control	Control	0.379	0.737354086	-12.31345007
30628	2	T3	3	P14	4	X4	P92	Control	Control	0.343	0.667315175	-11.16716958
32356	2	T4	4	P14	4	X4	P92	Control	Control	0.296	0.575875486	-10.7785059
34084	2	T5	5	P14	4	X4	P92	Control	Control	0.319	0.620622568	-12.5583776
35812	2	T6	6	P14	4	X4	P92	Control	Control	0.264	0.513618677	-12.28774142
25541	2	T0	0	P15	5	X5	P92	C5	Compound	0.459	1	-16.97581792
27269	2	T1	1	P15	5	X5	P92	C5	Compound	0.424	0.923747277	-9.9090515
28997	2	T2	2	P15	5	X5	P92	C5	Compound	0.407	0.88671024	-10.35338346
30725	2	T3	3	P15	5	X5	P92	C5	Compound	0.341	0.74291939	-12.16847206
32453	2	T4	4	P15	5	X5	P92	C5	Compound	0.335	0.729847495	-10.53826531
34181	2	T5	5	P15	5	X5	P92	C5	Compound	0.279	0.607843137	-13.0648807
35909	2	T6	6	P15	5	X5	P92	C5	Compound	0.251	0.546840959	-13.24038462
25540	2	T0	0	P15	4	X4	P92	C6	Compound	0.459	1	-10.92857143
25542	2	T0	0	P15	6	X6	P92	C6	Compound	0.468	1	-10.90596174
27268	2	T1	1	P15	4	X4	P92	C6	Compound	0.417	0.908496732	-13.94537248
27270	2	T1	1	P15	6	X6	P92	C6	Compound	0.425	0.908119658	-15.02747481
28996	2	T2	2	P15	4	X4	P92	C6	Compound	0.384	0.836601307	-5.454888417
28998	2	T2	2	P15	6	X6	P92	C6	Compound	0.399	0.852564103	-5.646750228
30724	2	T3	3	P15	4	X4	P92	C6	Compound	0.304	0.662309368	-6.792811839
30726	2	T3	3	P15	6	X6	P92	C6	Compound	0.338	0.722222222	-5.819199568
32452	2	T4	4	P15	4	X4	P92	C6	Compound	0.26	0.566448802	-5.995714236
32454	2	T4	4	P15	6	X6	P92	C6	Compound	0.31	0.662393162	-8.610221648
34180	2	T5	5	P15	4	X4	P92	C6	Compound	0.247	0.538126362	23.76015782
34182	2	T5	5	P15	6	X6	P92	C6	Compound	0.263	0.561965812	1.836224692
35908	2	T6	6	P15	4	X4	P92	C6	Compound	0.264	0.575163399	-12.08577826
35910	2	T6	6	P15	6	X6	P92	C6	Compound	0.402	0.858974359	-16.10861831
25360	2	T0	0	P13	16	X16	P93	C5	Compound	0.369	1	-0.857917851
27088	2	T1	1	P13	16	X16	P93	C5	Compound	0.428	1.159891599	-8.374361071
28816	2	T2	2	P13	16	X16	P93	C5	Compound	0.363	0.983739837	-48.55263158
30544	2	T3	3	P13	16	X16	P93	C5	Compound	0.354	0.959349593	-90.10465116
32272	2	T4	4	P13	16	X16	P93	C5	Compound	0.348	0.943089431	-369
34000	2	T5	5	P13	16	X16	P93	C5	Compound	0.347	0.940379404	-90.61242604
35728	2	T6	6	P13	16	X16	P93	C5	Compound	0.346	0.937669377	-53.94039501
25361	2	T0	0	P13	17	X17	P93	C6	Compound	0.595	1	-12.87021631
27089	2	T1	1	P13	17	X17	P93	C6	Compound	0.618	1.038655462	-16.85919791
28817	2	T2	2	P13	17	X17	P93	C6	Compound	0.569	0.956302521	-44.97093023
30545	2	T3	3	P13	17	X17	P93	C6	Compound	0.553	0.929411765	-51.44736842
32273	2	T4	4	P13	17	X17	P93	C6	Compound	0.543	0.912605042	-40.88862559
34001	2	T5	5	P13	17	X17	P93	C6	Compound	0.53	0.890756303	-44.56303206
35729	2	T6	6	P13	17	X17	P93	C6	Compound	0.514	0.863865546	-23.97788741
25362	2	T0	0	P13	18	X18	P93	Control	Control	0.582	1	0
27090	2	T1	1	P13	18	X18	P93	Control	Control	0.634	1.089347079	-16.2833935
28818	2	T2	2	P13	18	X18	P93	Control	Control	0.582	1	-40.47019868
30546	2	T3	3	P13	18	X18	P93	Control	Control	0.572	0.982817869	-37.22558459
32274	2	T4	4	P13	18	X18	P93	Control	Control	0.554	0.951890034	-44.76923077
34002	2	T5	5	P13	18	X18	P93	Control	Control	0.541	0.929553265	-66.18631977
35730	2	T6	6	P13	18	X18	P93	Control	Control	0.528	0.907216495	-13.87169157
25456	2	T0	0	P14	16	X16	P93	C5	Compound	0.451	1	-9.872397224
27184	2	T1	1	P14	16	X16	P93	C5	Compound	0.386	0.855875831	-32.67531306
28912	2	T2	2	P14	16	X16	P93	C5	Compound	0.369	0.818181818	-42.91993958
30640	2	T3	3	P14	16	X16	P93	C5	Compound	0.359	0.796008869	-58.10429448
32368	2	T4	4	P14	16	X16	P93	C5	Compound	0.348	0.771618625	-43.64516129
34096	2	T5	5	P14	16	X16	P93	C5	Compound	0.345	0.764966741	-21.9608076
35824	2	T6	6	P14	16	X16	P93	C5	Compound	0.33	0.731707317	-22.82987217
25457	2	T0	0	P14	17	X17	P93	C6	Compound	0.518	1	-16.44306349
27185	2	T1	1	P14	17	X17	P93	C6	Compound	0.486	0.938223938	-21.64869776
28913	2	T2	2	P14	17	X17	P93	C6	Compound	0.455	0.878378378	-31.30769231
30641	2	T3	3	P14	17	X17	P93	C6	Compound	0.44	0.849420849	-40.70842825
32369	2	T4	4	P14	17	X17	P93	C6	Compound	0.422	0.814671815	-38.76923077
34097	2	T5	5	P14	17	X17	P93	C6	Compound	0.417	0.805019305	-25.81491868
35825	2	T6	6	P14	17	X17	P93	C6	Compound	0.398	0.768339768	-19.96933366
25458	2	T0	0	P14	18	X18	P93	Control	Control	0.422	1	8.894613583
27186	2	T1	1	P14	18	X18	P93	Control	Control	0.445	1.05450237	-27.96759941
28914	2	T2	2	P14	18	X18	P93	Control	Control	0.428	1.014218009	-31.24497258
30642	2	T3	3	P14	18	X18	P93	Control	Control	0.415	0.983412322	-45.21428571
32370	2	T4	4	P14	18	X18	P93	Control	Control	0.401	0.950236967	-48.69230769
34098	2	T5	5	P14	18	X18	P93	Control	Control	0.401	0.950236967	-76.94450736
35826	2	T6	6	P14	18	X18	P93	Control	Control	0.388	0.91943128	-77.12824026
25552	2	T0	0	P15	16	X16	P93	C5	Compound	0.43	1	-47.88209607
27280	2	T1	1	P15	16	X16	P93	C5	Compound	0.418	0.972093023	-37.52077562
29008	2	T2	2	P15	16	X16	P93	C5	Compound	0.413	0.960465116	-27.73231623
30736	2	T3	3	P15	16	X16	P93	C5	Compound	0.397	0.923255814	-39.69230769
32464	2	T4	4	P15	16	X16	P93	C5	Compound	0.382	0.888372093	-13.58444714
34192	2	T5	5	P15	16	X16	P93	C5	Compound	0.377	0.876744186	-26.1126648
35920	2	T6	6	P15	16	X16	P93	C5	Compound	0.33	0.76744186	-25.63124728
25553	2	T0	0	P15	17	X17	P93	C6	Compound	0.429	1	-22.57894737
27281	2	T1	1	P15	17	X17	P93	C6	Compound	0.414	0.965034965	-22.57894737
29009	2	T2	2	P15	17	X17	P93	C6	Compound	0.423	0.986013986	-26.77763329
30737	2	T3	3	P15	17	X17	P93	C6	Compound	0.408	0.951048951	-37.71428571
32465	2	T4	4	P15	17	X17	P93	C6	Compound	0.391	0.911421911	104.755814
34193	2	T5	5	P15	17	X17	P93	C6	Compound	0.392	0.913752914	-66.18131868
35921	2	T6	6	P15	17	X17	P93	C6	Compound	0.398	0.927738928	-60.16436376
25554	2	T0	0	P15	18	X18	P93	Control	Control	0.4	1	-15.38461538
27282	2	T1	1	P15	18	X18	P93	Control	Control	0.409	1.0225	-36.26373626
29010	2	T2	2	P15	18	X18	P93	Control	Control	0.397	0.9925	-30.23255814
30738	2	T3	3	P15	18	X18	P93	Control	Control	0.387	0.9675	-33.09352518
32466	2	T4	4	P15	18	X18	P93	Control	Control	0.371	0.9275	22.31947484
34194	2	T5	5	P15	18	X18	P93	Control	Control	0.364	0.91	-45.23809524
35922	2	T6	6	P15	18	X18	P93	Control	Control	0.388	0.97	2.474351858
25374	2	T0	0	P13	30	X30	P94	C5	Compound	0.498	1	-16.6
27102	2	T1	1	P13	30	X30	P94	C5	Compound	0.453	0.909638554	-26.67857143
28830	2	T2	2	P13	30	X30	P94	C5	Compound	0.453	0.909638554	-18.10709564
30558	2	T3	3	P13	30	X30	P94	C5	Compound	0.425	0.853413655	3.502930832
32286	2	T4	4	P13	30	X30	P94	C5	Compound	0.398	0.799196787	4.494584838
34014	2	T5	5	P13	30	X30	P94	C5	Compound	0.429	0.861445783	-32.40340202
35742	2	T6	6	P13	30	X30	P94	C5	Compound	0.403	0.809236948	-24.9853361
25372	2	T0	0	P13	28	X28	P94	C6	Compound	0.424	1	-9.291886851
27100	2	T1	1	P13	28	X28	P94	C6	Compound	0.44	1.037735849	-9.984301413
28828	2	T2	2	P13	28	X28	P94	C6	Compound	0.377	0.889150943	-70.01834862
30556	2	T3	3	P13	28	X28	P94	C6	Compound	0.37	0.872641509	-100.4210526
32284	2	T4	4	P13	28	X28	P94	C6	Compound	0.365	0.860849057	-51.29032258
34012	2	T5	5	P13	28	X28	P94	C6	Compound	0.367	0.865566038	-36.97130243
35740	2	T6	6	P13	28	X28	P94	C6	Compound	0.355	0.837264151	-23.93288231
25373	2	T0	0	P13	29	X29	P94	Control	Control	0.402	1	-6.433906343
27101	2	T1	1	P13	29	X29	P94	Control	Control	0.431	1.072139303	-12.5198188
28829	2	T2	2	P13	29	X29	P94	Control	Control	0.384	0.955223881	-74.05263158
30557	2	T3	3	P13	29	X29	P94	Control	Control	0.376	0.935323383	185.5384615
32285	2	T4	4	P13	29	X29	P94	Control	Control	0.377	0.937810945	-46.38461538
34013	2	T5	5	P13	29	X29	P94	Control	Control	0.38	0.945273632	-73.45964126
35741	2	T6	6	P13	29	X29	P94	Control	Control	0.368	0.915422886	-43.25572917
25470	2	T0	0	P14	30	X30	P94	C5	Compound	0.499	1	-17.81259296
27198	2	T1	1	P14	30	X30	P94	C5	Compound	0.458	0.917835671	-54.5465587
28926	2	T2	2	P14	30	X30	P94	C5	Compound	0.451	0.903807615	-47.48791541
30654	2	T3	3	P14	30	X30	P94	C5	Compound	0.44	0.881763527	-67.17307692
32382	2	T4	4	P14	30	X30	P94	C5	Compound	0.43	0.861723447	-62.03038674
34110	2	T5	5	P14	30	X30	P94	C5	Compound	0.426	0.853707415	-35.11274588
35838	2	T6	6	P14	30	X30	P94	C5	Compound	0.415	0.831663327	-35.78233637
25468	2	T0	0	P14	28	X28	P94	C6	Compound	0.363	1	-14.0890411
27196	2	T1	1	P14	28	X28	P94	C6	Compound	0.333	0.917355372	-24.79334501
28924	2	T2	2	P14	28	X28	P94	C6	Compound	0.312	0.859504132	-54.87209302
30652	2	T3	3	P14	28	X28	P94	C6	Compound	0.307	0.845730028	-64.82142857
32380	2	T4	4	P14	28	X28	P94	C6	Compound	0.299	0.82369146	-64.82142857
34108	2	T5	5	P14	28	X28	P94	C6	Compound	0.297	0.818181818	-28.6849232
35836	2	T6	6	P14	28	X28	P94	C6	Compound	0.289	0.796143251	-26.97312952
25469	2	T0	0	P14	29	X29	P94	Control	Control	0.47	1	-10.25154605
27197	2	T1	1	P14	29	X29	P94	Control	Control	0.409	0.870212766	-25.28481013
