	Species	Microbiome	Compound	Placa 	Well	0	3	6	12	15	17	20
240	LP0049	NB	None	21	1	1	1.044920635	1.357460317	2.636507937	3.925873016	5.295714286	5.73031746
241	LP0049	NB	None	21	2	1	1.061538462	1.723384615	4.028615385	5.253846154	6.607692308	8.182
242	LP0049	NB	None	21	3	1	0.859736842	1.467894737	2.253947368	2.713684211	4.289210526	4.443421053
246	LP0049	NB	DMSO	21	7	1	1.021666667	1.091666667	1.139871795	1.282307692	1.127179487	1.248461538
247	LP0049	NB	DMSO	21	8	1	0.932608696	1.281304348	0.669565217	0.709565217	0.74	0.707826087
248	LP0049	NB	DMSO	21	9	1	1.258070175	1.314385965	1.130877193	0.894561404	0.816491228	0.84877193
252	LP0049	Syncom	None	22	1	1	1	1.633404255	2.694680851	3.06212766	3.524893617	4.875531915
253	LP0049	Syncom	None	22	2	1	0.925925926	1.470555556	3.044444444	3.644444444	6.042592593	6.242592593
254	LP0049	Syncom	None	22	3	1	1.01754386	1.444912281	2.399473684	3.109298246	2.439122807	4.928947368
258	LP0049	Syncom	DMSO	22	7	1	0.857142857	1.152653061	1.075102041	0.864897959	2.051428571	1.07755102
259	LP0049	Syncom	DMSO	22	8	1	0.935897436	0.991666667	1.198846154	0.970897436	1.055384615	1.073974359
260	LP0049	Syncom	DMSO	22	9	1	1.086956522	1.204130435	0.968478261	0.815434783	2.280652174	0.709130435
264	LP0049	Syncom	Methyl-Cytrate	23	1	1	0.980454545	1.403030303	1.397727273	1.140151515	1.569393939	1.618030303
265	LP0049	Syncom	Methyl-Cytrate	23	2	1	0.900515464	1.243195876	1.194948454	1.076701031	1.376701031	1.355773196
266	LP0049	Syncom	Methyl-Cytrate	23	3	1	0.878363636	1.226909091	1.074181818	1.072727273	1.593272727	1.522909091
270	LP0049	Syncom	Citrulline	23	7	1	0.994651163	1.134418605	1.550930233	1.465116279	1.858837209	1.795348837
271	LP0049	Syncom	Citrulline	23	8	1	1.17260274	1.519041096	1.688493151	1.625342466	1.89739726	1.865342466
272	LP0049	Syncom	Citrulline	23	9	1	1.174181818	1.588181818	1.885272727	1.711454545	1.892181818	2.133454545
276	LP0049	Syncom	Adrenaline	24	1	1	1.077638889	1.459305556	2.911527778	3.498194444	5.520833333	5.681944444
277	LP0049	Syncom	Adrenaline	24	2	1	1.166708861	1.742025316	4.085316456	4.406582278	7.568227848	7.861139241
278	LP0049	Syncom	Adrenaline	24	3	1	1.128478261	1.767065217	3.38173913	4.057282609	6.176413043	6.325434783
282	LP0049	Syncom	Lysine	24	7	1	1.023181818	1.233030303	1.15969697	0.901666667	0.918939394	0.917424242
283	LP0049	Syncom	Lysine	24	8	1	1.147586207	1.478793103	2.912068966	3.198448276	5.949655172	5.757413793
284	LP0049	Syncom	Lysine	24	9	1	1.167659574	1.447446809	1.231702128	1.133617021	1.205106383	1.153829787
288	LP0049	Syncom	Glutaric_acid	25	1	1	0.864583333	1.142604167	0.8365625	0.826770833	0.819166667	0.96
289	LP0049	Syncom	Glutaric_acid	25	2	1	0.529904762	1.080190476	0.798380952	0.802	0.958571429	0.962380952
290	LP0049	Syncom	Glutaric_acid	25	3	1	0.885230769	1.142307692	1.060461538	1.259846154	0.849230769	0.818153846
294	LP0049	Syncom	Pyrone	25	7	1	0.9331	1.1943	1.3186	1.3884	1.6043	1.5053
295	LP0049	Syncom	Pyrone	25	8	1	0.883589744	1.308589744	1.25525641	1.190769231	1.265384615	1.206282051
296	LP0049	Syncom	Pyrone	25	9	1	0.820135135	1.217702703	1.381621622	1.441621622	1.662972973	1.573378378
300	SP7498	NB	None	26	1	1	1.123707865	1.206179775	3.858651685	5.490898876	8.437865169	8.573370787
301	SP7498	NB	None	26	2	1	1.232317073	1.211402439	4.236585366	5.785426829	5.852195122	6.047560976
302	SP7498	NB	None	26	3	1	1.26202381	1.100833333	2.026309524	2.812261905	4.458095238	4.578571429
306	SP7498	NB	DMSO	26	7	1	1.073673469	0.752346939	1.059489796	1.001530612	0.985204082	0.979795918
307	SP7498	NB	DMSO	26	8	1	1.130898876	0.762359551	1.105393258	1.065393258	1.119101124	1.095955056
308	SP7498	NB	DMSO	26	9	1	1.005511811	0.662047244	0.944409449	1.051023622	0.971889764	1.002125984
312	SP7498	Syncom	None	27	1	1	1.145036496	1.679781022	3.30080292	4.00729927	5.397956204	5.401459854
313	SP7498	Syncom	None	27	2	1	1.056080402	1.488743719	4.305879397	5.206030151	4.342512563	4.51201005
314	SP7498	Syncom	None	27	3	1	1.122755102	1.705102041	4.637857143	6.142857143	8.264591837	7.904591837
318	SP7498	Syncom	DMSO	27	7	1	0.976575342	1.107534247	0.994246575	1.082191781	0.941438356	0.774383562
319	SP7498	Syncom	DMSO	27	8	1	1.061833333	1.157	1.0755	1.266666667	1.172833333	1.071333333
320	SP7498	Syncom	DMSO	27	9	1	0.952033898	1.078474576	1.03440678	1.093220339	1.03779661	1.028898305
324	SP7498	Syncom	Methyl-Cytrate	28	1	1	1.589312977	2.135496183	5.445038168	6.437480916	6.523740458	6.120152672
325	SP7498	Syncom	Methyl-Cytrate	28	2	1	1.527118644	2.182711864	5.604152542	7.34059322	7.641355932	7.751525424
326	SP7498	Syncom	Methyl-Cytrate	28	3	1	1.39256	2.12552	5.34368	6.8392	7.26952	7.12392
330	SP7498	Syncom	Citrulline	28	7	1	1.459333333	2.060761905	5.079809524	6.463142857	8.952857143	9.004666667
331	SP7498	Syncom	Citrulline	28	8	1	1.082202166	1.670613718	3.640577617	3.572490975	3.484259928	3.353718412
332	SP7498	Syncom	Citrulline	28	9	1	1.138174603	1.67	3.816111111	4.834047619	7.141587302	6.997063492
336	SP7498	Syncom	Adrenaline	29	1	1	1.432608696	1.883043478	4.433152174	5.478913043	9.154891304	9.517391304
337	SP7498	Syncom	Adrenaline	29	2	1	1.174649682	1.692738854	3.821464968	4.738025478	5.546433121	5.534012739
338	SP7498	Syncom	Adrenaline	29	3	1	1.383580247	1.912469136	2.970246914	3.139135802	4.900493827	4.877654321
342	SP7498	Syncom	Lysine	29	7	1	1.319884393	1.501445087	3.876242775	5.04	6.783179191	7.12150289
343	SP7498	Syncom	Lysine	29	8	1	1.327545455	1.503818182	2.422727273	2.445454545	4.847909091	5.134363636
344	SP7498	Syncom	Lysine	29	9	1	1.311826923	1.654903846	2.470384615	2.710480769	3.682980769	4.033846154
348	SP7498	Syncom	Glutaric_acid	30	1	1	1.068671329	1.176433566	1.047832168	1.06993007	1.036153846	1.012377622
349	SP7498	Syncom	Glutaric_acid	30	2	1	1.079492754	1.175942029	0.99826087	1.115942029	1.049057971	1.128913043
350	SP7498	Syncom	Glutaric_acid	30	3	1	1.059663866	1.000756303	0.906722689	1.100840336	1.058067227	0.909579832
354	SP7498	Syncom	Pyrone	30	7	1	1.231538462	1.490989011	1.76032967	1.637362637	1.616483516	1.553846154
355	SP7498	Syncom	Pyrone	30	8	1	1.214108527	1.560775194	2.759302326	2.984496124	3.681395349	3.567286822
356	SP7498	Syncom	Pyrone	30	9	1	1.169803922	1.232026144	1.705947712	1.712418301	1.785686275	1.757385621
