"Species" "Microbiome" "Subsample" "Stile_diameter" "Endodermis_diameter" "CCL1_diameter" "CCL2_diameter" "CCL3_diameter" "CCL4_diameter" "Exodermis_diameter" "Epidermis_diameter" "Max_diameter" "Stile_cell" "Endodermis_n_cell" "CCL1_n_cell" "CCL2__n_cell" "CCL3_n_cell" "CCL4_n_cell" "Exodermis_n_cell" "Epidermis_n_cell" "Aerenchyma_mean_area" "Aerenchyma_n" "CCL" "root_plant"
"95" "LT9243" "NB" 5 4.89649 3.086023333 9.123055 0 0 0 21.81156738 12.14239962 102.86888 6 6 6 0 0 0 7 15 65.18900182 11 5 1
"96" "PS" "NB" 1 22.11326263 8.824495789 10.77452658 29.33364773 43.72582116 22.0997604 14.27677071 17.09745735 317.55847 19 22 19 22 4 12 25 37 464.1206467 12 8 2
"97" "PS" "NB" 2 21.15087536 5.819949286 12.32139869 19.00477359 16.53510141 21.3116309 25.58350702 9.161246806 261.38923 28 22 19 22 4 12 25 37 239.9123011 9 8 3
"98" "PS" "NB" 3 28.58640818 7.43365039 23.01778835 18.35081 12.85900308 15.67835522 23.70804764 6.352646518 271.48042 22 21 13 13 7 23 42 48 188.7651 13 8 4
"99" "PS" "NB" 4 28.6392848 7.031001109 20.89929284 22.83874587 26.67579674 13.1299324 14.93286558 5.80872487 281.23913 25 22 16 13 37 8 45 69 260.52493 12 8 3
"100" "PS" "NB" 5 11.67421625 4.229567083 14.69093667 23.812857 0 0 18.61914436 6.47057269 161.9269125 8 9 9 10 0 0 22 37 50.62601889 8 6 3
"106" "SI7820" "B+" 1 9.151055556 4.536780694 13.40368042 9.038845833 11.65354875 0 23.91496333 8.104689667 160.4446775 9 8 9 8 8 0 24 41 662.631555 6 6 3.5
"107" "SI7820" "B+" 2 9.80543875 5.59469125 14.2969425 12.86031179 11.61173821 0 24.5562145 18.43919608 202.9353875 8 6 8 7 4 0 20 26 629.8079371 7 7 3.6
"108" "SI7820" "B+" 3 7.6535475 3.92829125 9.73392375 6.57952125 7.183159107 0 20.50474381 8.157953905 131.57304 8 6 8 7 4 0 20 26 290.11247 8 7 2
"109" "SI7820" "B+" 4 8.376317143 4.142162857 11.36338833 11.66341167 8.54649 0 29.099594 9.101549226 143.819895 7 6 7 7 1 0 20 32 402.2267314 7 7 3
"110" "SI7820" "B+" 5 7.429297143 7.465579857 8.854449667 9.341176667 8.54649 0 15.55797656 8.420116944 139.35302 7 10 9 9 5 0 18 33 228.5121744 9 7 2
"111" "SI9227" "B+" 1 10.45378125 4.87870625 18.51002694 12.81821306 12.29880821 0 28.21881362 8.220835348 193.1349425 7 8 9 8 7 0 30 47 820.9910125 7 7 2.75
"112" "SI9227" "B+" 2 7.09026 2.625575714 17.05787714 11.75655714 13.71319714 2.441622857 24.63217958 7.461603854 176.07003 7 7 7 7 7 1 24 32 976.0290957 7 8 3
"113" "SI9227" "B+" 3 9.67716875 5.27822625 17.70759875 10.46186 10.3861875 6.70340875 22.44476067 8.916500048 186.1269025 8 8 8 8 8 3 30 43 910.7674929 7 8 1.866666667
"114" "SI9227" "B+" 4 7.733564286 3.899134286 17.37437857 11.17213286 11.419615 0 26.72994595 7.52889869 170.47645 7 7 7 7 3 0 21 29 744.10875 7 7 2.25
"115" "SI9227" "B+" 5 9.240375 4.09851625 13.71451542 9.249042083 10.25222625 4.870695 19.6994812 8.19052239 156.120175 8 8 9 8 8 1 25 40 666.8545225 8 8 4.6
"116" "SP9509" "B+" 1 10.23221857 3.754041429 17.66988571 10.9385 10.04961229 0 24.31928295 10.43987905 176.7791125 7 7 7 7 4 0 14 29 681.5540357 7 6 2.666666667
"117" "SP9509" "B+" 2 8.526768333 3.714266667 15.21038625 9.24813 10.65256875 0 29.29457227 9.349446257 175.111595 6 8 8 8 8 0 21 33 590.2721714 6 8 4.75
"118" "SP9509" "B+" 3 6.259677143 3.931125714 19.16677286 12.42397429 10.21833 0 14.11421182 8.579824336 154.508375 7 7 7 7 2 0 20 17 440.3557657 7 7 4.2
"119" "SP9509" "B+" 4 7.18744625 3.22435125 17.5365975 12.2388575 8.104105 0 32.59052618 9.749302982 182.3455075 8 8 8 8 4 0 19 30 609.594805 8 7 2.5
"120" "SP9509" "B+" 5 8.8051 4.758752857 18.42533857 11.12633429 11.05181829 0 21.71751267 7.708414333 170.9763275 7 7 7 7 4 0 22 41 888.1531314 7 7 3.25
"121" "SP5543" "B+" 1 8.57751625 4.553765 16.57500625 9.8752125 6.973133333 0 22.10001048 9.706354466 157.85035 8 8 8 8 3 0 20 29 328.0672163 8 7 4
"122" "SP5543" "B+" 2 8.653875 3.5520425 9.22866875 5.0680225 0 0 17.09712587 7.76816993 103.820495 6 8 8 8 3 0 20 29 91.8879525 4 6 3
