"Observed" "Chao1" "se.chao1" "Shannon" "Simpson"
"P03.bc51" 113 113 0 3.14393200753675 0.926317783674103
"P03.bc52" 63 63 0 2.68276012923883 0.882920861539615
"P03.bc53" 82 82 0.124235466834202 2.21147977745309 0.749733564805816
"P03.bc54" 86 86 0 2.22693042904552 0.770361643680059
"P03.bc55" 85 85.5 1.29650339476284 3.11707742774012 0.911698642522767
"P03.bc56" 73 73 0.496563533161421 2.52210772294494 0.847745054735449
"P03.bc57" 2 2 0 0.00874955149685696 0.00224349103841481
"P03.bc58" 1 1 0 0 0
"P03.bc59" 113 113 0.248891347087172 3.05165610192781 0.914114610612039
"P03.bc5" 87 87 0.248559065808114 3.05668062336694 0.927915488560547
"P03.bc60" 66 66 0.165399221149624 2.38212323028141 0.833153520268803
"P03.bc61" 1 1 0 0 0
"P03.bc62" 8 8 0 0.0907147101828598 0.0258466540661433
"P03.bc63" 90 90 0.165738154335292 2.87066533823195 0.867867646874983
"P03.bc64" 86 87 2.33538497650939 2.3318964982455 0.812446484178627
"P03.bc66" 181 183 2.8850682315446 3.29852802309023 0.906448741564193
"P03.bc67" 50 50 0 2.99119172558977 0.889236159534939
"P03.bc68" 24 24 0 2.66857766046643 0.903949223891879
"P03.bc69" 99 99 0.165822779387697 2.34579469580846 0.794095571084645
"P03.bc6" 8 8 0 0.296396508165469 0.104857865495474
"P03.bc70" 90 90 0.124303615751469 2.2879226970046 0.81894765928034
"P03.bc71" 92 92.3333333333333 0.925140728710536 2.88620431024029 0.894629095801832
"P03.bc72" 54 54.5 1.29505941913202 2.88916439691589 0.898294358725663
"P03.bc73" 104 104 0 2.5973518617204 0.85366919089425
"P03.bc74" 122 122 0 3.0212872887816 0.915663644809131
"P03.bc75" 183 183.5 1.29785769824917 2.22487463171633 0.772124907413512
"P03.bc76" 89 89 0 2.98198789149163 0.922845447476003
"P03.bc77" 97 97 0 3.01008747126539 0.924172711864655
"P03.bc78" 119 119 0 2.88392901798015 0.856118287968959
"P03.bc79" 126 126 0 4.05611361694673 0.966348634397979
"P03.bc7" 80 80 0 2.41684386942478 0.866173856304978
"P03.bc80" 81 81 0 2.89020435079665 0.911819663172995
"P03.bc81" 107 107 0.248829033375262 3.05308119603083 0.913914263229549
"P03.bc82" 114 114 0 2.54622303144085 0.833635250023016
"P03.bc83" 110 110 0.165907361275058 2.81803723526147 0.870345723183391
"P03.bc84" 142 142.25 0.736398152208742 2.44790952945814 0.796260147065027
"P03.bc85" 70 70 0 2.14854021196884 0.824304736946164
"P03.bc86" 2 2 0 0.0097716060495957 0.00254668516415002
"P03.bc87" 103 103 0.16585563184555 2.82463165415696 0.896214047333266
"P03.bc88" 71 71.5 1.29600650736517 2.58348251111182 0.880003513830411
"P03.bc89" 1 1 0 0 0
"P03.bc8" 2 2 0 0.00720777220875785 0.00179734745617743
"P03.bc91" 253 253 0 3.84134474657176 0.93544216715714
"P03.bc92" 9 9 0 0.211636920466647 0.0656901497889689
"P03.bc93" 330 330.6 1.05933730383244 3.99608213221465 0.95528867285484
"P03.bc94" 117 117 0.0995717325074236 1.82704933619724 0.64003339754411
"P03.bc95" 78 78 0.49678453256404 2.6624794176541 0.879822955519304
"P03.bc9" 94 94 0 2.58909295636898 0.848143322783572
"P04.bc11" 1 1 0 0 0
"P04.bc12" 4 4 0 0.0178417277541592 0.00433997628651428
"P04.bc13" 87 87 0.165706043872076 2.54939687586402 0.861747112007037
"P04.bc15" 3 3 0 0.0299724533047081 0.00833825568470414
"P04.bc16" 77 77 0 2.14851478676175 0.694870218170261
"P04.bc17" 4 4 0 0.0531021759928948 0.0165286960969636
"P04.bc21" 183 183 0 2.3616862885078 0.668798612408982
"P04.bc22" 55 55 0 3.53098255795964 0.952848448279662
"P04.bc23" 149 149 0 2.91496576359845 0.881169441206954
"P04.bc9" 62 62 0.247975675185835 1.80888319797967 0.656001483822017
