	Species	Microbiome	ID	Nutrition	Subsample	cell_layer_n	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Arenquima_mean_area	Arenquima_N
75	LA7339	B+	153	Medium	1	5.1	12.69409	6.004298462	16.54274	0	0	0	37.61961154	12.64097111	174.918585	12	13	13	0	0	0	13	27	48.98655462	13
76	LA7339	B+	154	Medium	2	5	8.25415	3.984051111	13.14806556	8.148253333	0	0	36.89440778	14.48947508	153.0256425	8	9	9	1	0	0	9	21	58.15468667	9
77	LA7339	B+	155	Medium	3	5	7.540454286	3.382311429	14.41447	12.97434	10.93086095	0	22.49855233	6.917402053	156.1899125	7	7	7	7	3	0	19	38	381.69879	7
78	LP0049	B+	161	Medium	1	5	9.143423333	3.962446667	16.887746	0	0	0	34.905595	2.863667214	137.750625	9	10	10	0	0	0	10	28	24.87457444	9
79	LP0049	B+	162	Medium	2	6	9.305814	4.044216	14.243339	5.230517	0	0	22.7872215	4.171875227	120.5875425	10	10	10	5	0	0	16	33	82.86721917	12
80	LP0049	B+	164	Medium	3	6	8.462305556	3.863715444	11.39304	5.99597525	0	0	17.16237946	12.10450476	118.5256775	9	10	10	8	0	0	2	16	120.169308	10
81	LJ9250	B+	165	Medium	1	6	9.050865	4.14007625	16.04934125	3.6815175	0	0	33.76112556	16.9623855	171.72214	8	8	8	1	0	0	9	19	97.03682375	8
82	LJ9250	B+	165.5	Medium	2	5	10.036452	2.1573295	18.5259435	0	0	0	36.645573	15.5753365	168.5239325	10	10	10	6	0	0	10	20	41.695043	10
83	LJ9250	B+	166	Medium	3	6	9.42427625	3.89866625	18.67845375	1.24629375	0	0	41.79883125	18.90650602	187.6482875	8	8	8	2	0	0	8	22	208.6895125	8
84	LJ9250	B+	167	Medium	4	5	9.808353333	4.507381111	15.42910667	0	0	0	34.35576689	17.01473533	163.0819725	9	9	9	0	0	0	10	21	40.51997875	8
85	LJ9250	B+	168	Medium	5	5	7.735311111	3.4411	11.74243222	0	0	0	30.26660222	13.92369076	139.1071525	9	9	9	0	0	0	9	19	33.09897778	9
86	SI7820	NB	176	Low	1	7	5.999795	3.86816125	10.91373875	7.39095125	9.27898	0	59.43142462	12.17918751	145.6924375	8	8	8	8	8	0	25	32	333.38987	8
87	SI7820	NB	177	Low	2	6	7.08728	2.743186667	18.30995667	10.57614833	0	0	26.92446186	10.13832714	162.0467367	6	4	6	6	0	0	17	28	327.97632	6
88	SI7820	NB	178	Low	3	7	8.15196	4.579425714	16.36955929	10.29453929	10.33943971	0	22.078976	10.03501441	169.3874375	9	7	8	7	5	0	21	32	658.2607686	7
89	SP9509	NB	180	Low	1	6	8.680707143	3.690065714	13.59628714	12.11035714	0	0	21.32809786	8.011346562	137.826965	7	7	7	7	0	0	20	32	335.32927	7
90	SP9509	NB	181	Low	2	7	7.57893	3.204465714	11.96070571	7.226535714	10.04363036	0	23.83164886	5.343852611	70.3957125	7	7	7	7	8	0	22	39	486.8115	7
91	SP9509	NB	182	Low	3	7	6.274425556	3.508613016	11.45894857	6.873092857	8.282231667	0	22.48738024	5.715398885	64.488995	9	7	7	7	6	0	21	36	346.74344	7
92	LP8539	NB	184	Low	1	5	11.18819818	4.586406818	20.25211917	0	0	0	32.33241122	19.45475871	180.153805	11	12	10	0	0	0	13	22	171.3384189	9
93	LP8539	NB	185	Low	2	5	9.862759091	4.866190909	16.18870455	0	0	0	35.09788273	13.86002323	166.36208	11	11	11	0	0	0	11	20	50.28464455	11
94	LP8539	NB	186	Low	3	5	7.17946875	3.38847625	15.12492944	0	0	0	22.26921306	3.7407901	105.093475	8	8	8	0	0	0	12	25	32.53098625	8
95	LA7339	NB	188	Low	1	5	7.206734286	4.251888571	14.94083464	0	0	0	33.8422075	12.75684413	147.66532	7	5	6	0	0	0	8	21	68.427425	8
96	LA7339	NB	189	Low	2	5	5.47102875	3.65018325	9.092863	0	0	0	25.453509	11.252014	113.1728667	8	10	10	0	0	0	10	18	54.25026143	7
97	LA7339	NB	190	Low	3	5	5.864801429	3.300171429	13.14932429	0	0	0	36.86690357	9.478471952	138.5503525	7	7	7	0	0	0	14	15	20.05723286	7
98	LA7339	NB	191	Low	4	5	7.474106667	4.256427778	13.67392889	0	0	0	32.25740121	10.35220837	137.85945	9	9	9	0	0	0	11	24	21.27455333	8
99	LP0049	NB	196	Low	1	6	9.449732	4.483658	16.97598444	11.61357056	0	0	21.08018	6.568564286	142.10019	10	9	9	8	0	0	18	28	150.5118289	9
100	LP0049	NB	197	Low	2	6	8.223873333	3.956885556	12.00146	8.034354861	0	0	18.64600347	11.48290313	110.064325	9	9	9	8	0	0	17	27	122.8323811	9
101	LP0049	NB	198	Low	3	6	9.277895556	4.347963333	17.49739411	10.295812	0	0	14.36637786	5.339870621	127.435755	9	9	10	2	0	0	14	23	96.62233375	8
102	LP0049	NB	199	Low	4	5	11.616628	5.409744	18.50424	0	0	0	64.14428273	6.88350958	144.6025475	10	10	10	0	0	0	11	26	56.436711	10
103	LJ9250	NB	201	Low	1	6	8.53750125	3.918034306	13.29322889	3.454802222	0	0	25.42688667	14.118075	141.3377	8	9	9	3	0	0	11	17	115.01267	8
104	LJ9250	NB	203	Low	2	5	7.94253125	4.018902083	11.6898	0	0	0	19.31283778	14.34425167	122.7210925	8	9	9	0	0	0	9	16	65.31236778	9
