	Medium	Treatment	Species	Replicate	Fmax	Tfmax	AUC6	AUC14	Vel_in	Vel_fn
166	Hundred	SynCom	LJ9250	2	3.158398655	14	7.796427893	29.23465513	0.30597521	0.150112561
167	Hundred	SynCom	LJ9250	3	3.267959719	10	10.14506063	33.87160485	0.68032409	-0.051450252
168	Hundred	SynCom	LJ9250	4	3.388275255	14	6.105585608	24.17105296	0.016744245	0.703333753
176	Thousand	NB	SI7820	1	1.944295488	6	7.929681019	21.45728078	0.302647557	0.119506799
177	Thousand	NB	SI7820	2	2.075462117	14	7.281916514	20.86958663	0.263558806	0.268824904
178	Thousand	NB	SI7820	3	2.199281826	10	7.760182766	23.37434829	0.376011371	-0.188756661
179	Thousand	NB	SI7820	4	2.481454601	14	7.944904949	25.56490571	0.304187835	0.145918484
180	Thousand	NB	SP9509	1	2.235641497	14	7.604839581	22.90602907	0.37512153	0.135621092
181	Thousand	NB	SP9509	2	1.980410075	14	5.937696328	19.55415072	0.106602319	0.100698212
182	Thousand	NB	SP9509	3	1.824107929	14	6.089071704	18.78197576	0.105169612	0.125338547
183	Thousand	NB	SP9509	4	2.689094977	14	8.030472778	24.43119913	0.338897176	0.439394922
184	Thousand	NB	LP8539	1	2.151310631	14	7.395415593	22.3431584	0.337837459	0.112719839
185	Thousand	NB	LP8539	2	3.076617647	14	7.571470588	25.44857843	0.375698529	0.438321078
186	Thousand	NB	LP8539	3	3.26429832	14	8.587995947	28.76487025	0.416530492	0.427005033
187	Thousand	NB	LP8539	4	2.769730415	14	7.04313099	24.95916616	0.191759301	0.268515829
188	Thousand	NB	LA7339	1	3.025954596	10	8.227650209	30.08710076	0.356263145	-0.05618075
189	Thousand	NB	LA7339	2	3.959645621	14	8.98736796	33.07440491	0.386384657	0.551428711
190	Thousand	NB	LA7339	3	4.353259568	14	8.020309431	33.83436317	0.307323849	0.535469656
191	Thousand	NB	LA7339	4	3.52239311	14	9.681144263	34.08618886	0.514964626	0.192217779
192	Thousand	NB	PS	1	1	0	4.393706253	11.28743253	-0.074466807	0.01614152
193	Thousand	NB	PS	2	1.418704792	14	5.915357307	16.09704683	0.132532598	0.083433123
194	Thousand	NB	PS	3	1.300654671	14	5.658236435	15.29597007	0.094391323	0.051820936
195	Thousand	NB	PS	4	1.407385022	14	6.10316202	16.449715	0.139796545	0.079582861
196	Thousand	NB	LP0049	1	2.077812523	10	7.181259545	22.88639614	0.250272707	-0.000399971
197	Thousand	NB	LP0049	2	2.636228956	14	7.382345679	24.2547587	0.262199776	0.29667789
198	Thousand	NB	LP0049	3	1.381381656	14	5.243837498	14.90582886	0.053728902	0.07415282
199	Thousand	NB	LP0049	4	2.047368963	14	7.552167645	20.87985789	0.227690248	0.355184842
200	Thousand	NB	LJ9250	1	3.088269167	14	8.770470001	29.37417736	0.428649775	0.261941977
201	Thousand	NB	LJ9250	2	2.445572516	14	6.538743407	22.06322644	0.176422537	0.253057462
202	Thousand	NB	LJ9250	3	2.282615677	14	6.595629833	22.16167642	0.140751995	0.16485091
203	Thousand	NB	LJ9250	4	2.356151965	10	6.903556671	23.71937721	0.225322567	-0.08925409
211	Thousand	SynCom	SI7820	1	1.445958143	10	5.575199645	16.50782517	0.063297433	-0.022018328
212	Thousand	SynCom	SI7820	2	1.415566945	10	6.234238374	16.6250225	0.201090406	-0.1019165
213	Thousand	SynCom	SI7820	3	2.005462507	10	7.580066186	20.85043136	0.412932268	-0.362404081
214	Thousand	SynCom	SI7820	4	1.349649176	3	6.183741008	16.03957601	0.174824588	0.042770541
215	Thousand	SynCom	SP9509	1	1.206614195	3	5.622046543	14.37779078	0.103307098	0.050044157
216	Thousand	SynCom	SP9509	2	1.479277907	14	6.656480099	17.91373058	0.197914267	0.063453582
217	Thousand	SynCom	SP9509	3	1.317524296	14	5.792102959	14.93994906	0.116682707	0.12944403
218	Thousand	SynCom	SP9509	4	1.433475219	10	6.542120456	17.48394736	0.197509663	-0.099613484
219	Thousand	SynCom	LP8539	1	1.599313752	3	7.227186677	18.5990919	0.299656876	0.004791907
220	Thousand	SynCom	LP8539	2	1.774866201	14	7.263153277	21.14260229	0.232225894	0.029889159
221	Thousand	SynCom	LP8539	3	1.254860604	14	5.403558584	14.6807009	0.091208999	0.022754928
222	Thousand	SynCom	LP8539	4	1.635121182	14	6.526070536	18.92466851	0.16662591	0.042006304
223	Thousand	SynCom	LA7339	1	2.581890873	3	10.55749398	27.01790014	0.790945436	-0.087615283
224	Thousand	SynCom	LA7339	2	1.459616645	10	5.334514253	16.01628031	0.07384502	-0.007413172
