"Experiment" "Time" "Plate" "nr" "Sample" "Microbe" "Compound" "Compound2" "Value" "Relative"
"260" 1 "T4" "P27" 27 "X82" "A107" "C4" "Compound" 0.446 0.370739817
"261" 1 "T1" "P19" 19 "X1" "A159" "Control" "Control" 0.4 0.371057514
"262" 1 "T5" "P17" 17 "X74" "A175" "C3" "Compound" 0.41 0.371376812
"263" 1 "T3" "P26" 26 "X9" "A91" "C1" "Compound" 0.594 0.372180451
"264" 1 "T2" "P21" 21 "X56" "P98B" "Control" "Control" 0.387 0.3731919
"265" 1 "T5" "P13" 13 "X44" "A92A.22" "Blank" "Blank" 0.507 0.373343152
"266" 1 "T4" "P27" 27 "X25" "A91" "C3" "Compound" 0.597 0.373825924
"267" 1 "T3" "P19" 19 "X67" "P50" "C2" "Compound" 0.603 0.374301676
"268" 1 "T6" "P22" 22 "X31" "P115" "C3" "Compound" 0.62 0.374396135
"269" 1 "T2" "P28" 28 "X79" "A349" "C3" "Compound" 0.103 0.374545455
"270" 1 "T2" "P5" 5 "X56" "P183A" "Control" "Control" 0.529 0.375977257
"271" 1 "T5" "P22" 22 "X9" "P128A.112" "C1" "Compound" 0.466 0.376109766
"272" 1 "T4" "P21" 21 "X43" "P61" "Blank" "Blank" 0.568 0.376907764
"273" 1 "T1" "P3" 3 "X45" "A122" "Blank" "Blank" 0.448 0.377422072
"274" 1 "T3" "P28" 28 "X79" "A349" "C3" "Compound" 0.104 0.378181818
"275" 1 "T1" "P25" 25 "X93" "P154" "Blank" "Blank" 0.158 0.378896882
"276" 1 "T5" "P21" 21 "X31" "P115" "C3" "Compound" 0.628 0.379227053
"277" 1 "T1" "P5" 5 "X15" "P271" "C1" "Compound" 0.456 0.380634391
"278" 1 "T1" "P5" 5 "X26" "P192" "C3" "Compound" 0.463 0.380756579
"279" 1 "T5" "P16" 16 "X13" "P266" "C1" "Compound" 0.401 0.381178707
"280" 1 "T6" "P30" 30 "X85" "A179A" "C4" "Compound" 0.368 0.38134715
"281" 1 "T6" "P19" 19 "X68" "P54" "C2" "Compound" 0.812 0.382117647
"282" 1 "T1" "P3" 3 "X38" "A125" "C4" "Compound" 0.483 0.382120253
"283" 1 "T4" "P16" 16 "X79" "A245" "C3" "Compound" 0.108 0.382978723
"284" 1 "T2" "P19" 19 "X53" "P55" "Control" "Control" 0.133 0.384393064
"285" 1 "T2" "P7" 7 "X1" "A159" "Control" "Control" 1.019 0.384673462
"286" 1 "T2" "P20" 20 "X67" "P72" "C2" "Compound" 0.902 0.386626661
"287" 1 "T5" "P19" 19 "X50" "P71" "Control" "Control" 0.119 0.38762215
"288" 1 "T4" "P27" 27 "X9" "A91" "C1" "Compound" 0.619 0.387844612
"289" 1 "T6" "P7" 7 "X52" "P54" "Control" "Control" 0.162 0.388489209
"290" 1 "T2" "P26" 26 "X81" "A102" "C4" "Compound" 0.51 0.388719512
"291" 1 "T5" "P17" 17 "X1" "A159" "Control" "Control" 0.42 0.38961039
"292" 1 "T4" "P14" 14 "X7" "A34" "Control" "Control" 0.895 0.389638659
"293" 1 "T1" "P19" 19 "X49" "A174" "Control" "Control" 0.445 0.390693591
"294" 1 "T1" "P2" 2 "X3" "A92A.231" "Control" "Control" 0.559 0.391182645
"295" 1 "T1" "P19" 19 "X73" "A174" "C3" "Compound" 0.526 0.39195231
"296" 1 "T1" "P5" 5 "X13" "P266" "C1" "Compound" 0.497 0.392575039
"297" 1 "T5" "P12" 12 "X7" "A34" "Control" "Control" 0.902 0.392686112
"298" 1 "T3" "P19" 19 "X56" "P58" "Control" "Control" 0.609 0.394174757
"299" 1 "T2" "P4" 4 "X26" "A119B" "C3" "Compound" 0.436 0.394213382
"300" 1 "T2" "P6" 6 "X13" "P266" "C1" "Compound" 0.501 0.395734597
"301" 1 "T5" "P18" 18 "X56" "P58" "Control" "Control" 0.612 0.396116505
"302" 1 "T2" "P26" 26 "X45" "A92B" "Blank" "Blank" 0.62 0.397435897
"303" 1 "T2" "P28" 28 "X80" "P183A" "C3" "Compound" 0.133 0.398203593
